20
500 5000
0 297 2
0 84 2
0 109 1
0 64 8
0 264 9
0 482 2
0 144 1
0 313 10
0 170 10
0 189 6
0 372 1
0 453 1
1 364 10
1 423 3
1 95 5
1 164 9
1 490 7
1 474 7
1 455 8
1 199 5
1 302 2
1 281 8
1 100 3
1 238 3
1 300 3
1 362 5
1 36 10
2 404 9
2 361 10
2 330 10
2 177 5
2 424 10
2 57 2
2 101 10
2 369 8
3 216 7
3 283 6
3 202 4
3 194 1
3 311 8
3 386 1
3 384 2
3 380 4
3 179 7
3 323 3
3 371 6
3 22 4
3 274 4
3 97 1
3 474 9
4 9 6
4 354 4
4 456 9
4 230 5
4 294 4
4 40 6
4 373 6
4 205 7
5 74 6
5 95 4
5 108 2
5 255 2
5 94 2
5 296 4
5 448 7
5 231 2
5 232 8
6 261 7
6 223 8
6 53 5
6 468 3
6 453 2
6 428 7
6 247 10
6 432 8
6 59 8
6 369 1
6 469 4
7 251 10
7 432 1
7 54 4
7 160 8
7 11 2
7 425 10
7 453 8
7 359 5
8 142 10
8 18 9
8 375 1
8 439 7
8 333 1
8 101 1
8 441 3
8 96 1
8 433 9
9 4 6
9 305 4
9 102 5
9 12 9
9 41 4
9 84 9
9 477 4
9 422 5
9 274 4
9 310 9
9 430 5
9 335 9
9 14 1
10 249 9
10 20 8
10 414 5
10 95 6
10 139 7
10 371 10
10 48 7
11 260 9
11 213 6
11 7 2
11 90 6
11 196 5
11 317 8
11 185 10
11 227 2
11 481 8
12 332 9
12 191 3
12 9 9
12 72 8
12 326 8
12 253 7
12 213 2
13 184 8
13 154 5
13 334 1
13 453 1
13 447 4
13 397 2
13 131 6
13 288 1
13 343 8
14 62 3
14 467 1
14 67 9
14 81 10
14 9 1
14 398 6
15 370 8
15 160 5
15 203 4
15 145 4
15 309 2
16 466 5
16 460 5
16 367 5
16 244 9
16 191 6
16 44 4
16 136 7
17 434 8
17 383 2
17 225 9
17 49 7
17 214 2
17 325 8
17 297 1
17 52 6
17 61 5
17 267 5
17 167 4
17 40 5
18 240 4
18 337 7
18 151 8
18 229 2
18 8 9
18 45 10
18 378 3
18 96 7
18 241 6
18 445 4
19 310 8
19 26 5
19 487 10
19 60 3
19 121 8
19 278 2
19 174 5
19 79 6
19 458 4
19 428 10
19 322 2
19 452 5
19 326 6
19 204 5
19 122 1
19 48 5
19 213 10
19 367 6
20 233 5
20 299 8
20 242 9
20 300 6
20 10 8
20 345 1
20 26 9
20 130 10
20 376 6
20 136 5
20 353 6
20 72 2
20 309 1
21 207 2
21 184 6
21 457 7
21 232 2
21 425 10
21 140 5
21 477 9
21 406 6
21 247 3
21 456 9
22 251 5
22 161 8
22 377 10
22 205 6
22 291 7
22 144 9
22 453 6
22 137 5
22 369 10
22 173 1
22 3 4
22 290 9
22 332 9
22 477 3
23 367 1
23 136 10
23 400 5
23 285 10
23 121 4
23 39 9
23 92 2
23 180 1
23 134 4
23 395 8
23 153 4
23 347 1
23 246 4
24 269 4
24 135 8
24 88 4
24 431 8
24 161 10
24 263 1
24 270 5
24 79 4
24 335 7
25 370 6
25 35 2
25 454 6
25 447 9
25 173 8
25 317 8
25 273 8
25 443 8
25 264 2
26 408 3
26 19 5
26 197 7
26 20 9
26 446 9
26 101 2
26 179 6
26 379 10
26 330 9
26 204 6
26 114 5
27 66 8
27 114 6
27 341 3
27 285 4
27 452 10
27 305 10
27 350 5
27 38 10
28 335 1
28 389 1
28 104 10
28 61 2
29 326 7
29 407 8
29 347 6
29 177 6
29 297 4
29 337 6
29 320 3
30 341 5
30 391 6
30 265 1
30 439 8
30 136 2
30 472 8
30 105 3
30 318 10
31 499 4
31 263 6
31 102 2
31 466 8
31 349 4
31 425 6
31 229 2
31 48 1
32 440 1
32 327 10
32 408 9
32 431 6
32 330 3
32 425 6
32 64 10
32 56 4
32 87 2
32 315 2
33 382 9
33 278 1
33 174 2
33 437 3
33 189 2
33 77 2
34 416 5
34 319 3
34 167 7
34 326 5
34 386 3
34 350 6
34 273 1
34 208 8
34 35 5
34 68 1
34 448 5
35 25 2
35 493 2
35 196 7
35 36 7
35 264 6
35 301 10
35 498 5
35 128 1
35 212 6
35 203 7
35 457 10
35 34 5
35 243 6
35 397 4
35 139 8
36 443 9
36 35 7
36 327 4
36 447 3
36 331 4
36 406 2
36 403 10
36 57 1
36 1 10
36 428 7
36 429 5
37 298 8
37 283 2
37 173 2
37 397 2
37 218 8
37 118 6
37 324 5
37 456 7
38 249 4
38 81 4
38 394 1
38 458 5
38 206 4
38 378 1
38 27 10
39 101 6
39 23 9
39 345 4
39 457 7
39 76 6
39 91 6
40 288 6
40 451 5
40 198 10
40 317 10
40 415 1
40 162 1
40 4 6
40 471 9
40 104 6
40 292 10
40 489 5
40 17 5
41 457 10
41 241 4
41 215 6
41 9 4
41 427 2
41 83 6
41 348 7
41 434 2
41 195 7
41 103 7
41 126 6
41 259 1
42 449 3
42 366 10
42 472 4
42 487 5
42 485 1
42 151 10
42 273 1
42 337 7
43 105 6
43 74 3
43 471 2
43 73 1
43 93 7
43 57 2
44 163 5
44 184 10
44 378 6
44 102 7
44 287 7
44 50 10
44 16 4
45 433 3
45 350 7
45 18 10
45 282 7
45 132 6
45 438 10
45 114 8
45 206 9
45 62 10
46 95 1
46 290 9
46 248 10
46 458 3
46 84 10
46 398 3
47 464 2
47 67 4
47 142 4
47 268 5
47 188 3
47 364 2
47 474 1
47 315 9
47 150 8
47 89 7
48 73 5
48 74 10
48 365 7
48 19 5
48 31 1
48 10 7
48 221 5
48 278 3
49 17 7
49 50 3
49 373 9
49 255 7
49 494 5
50 91 10
50 480 7
50 434 7
50 174 3
50 108 5
50 273 9
50 49 3
50 350 10
50 328 9
50 458 9
50 233 3
50 384 1
50 478 1
