1
150 750
0 101 5
0 4 2
0 43 5
0 68 5
0 1 2
0 112 3
1 106 1
1 38 5
1 4 1
1 142 1
1 139 2
1 30 5
1 110 4
1 0 2
1 85 1
1 61 1
2 18 1
2 32 4
2 101 4
2 48 4
3 36 5
3 26 2
3 149 1
3 80 3
3 66 3
3 134 1
4 0 2
4 1 1
4 91 3
4 46 3
4 104 1
4 92 4
6 48 3
6 55 3
7 135 3
7 117 1
7 38 5
7 48 3
7 41 2
7 108 1
8 60 4
8 90 2
8 11 1
8 29 5
8 55 5
8 82 1
9 149 5
9 75 2
9 103 1
9 113 3
9 133 3
10 26 4
10 30 4
10 147 2
10 43 2
10 130 3
10 14 1
10 61 5
11 20 4
11 140 1
11 96 3
11 147 2
11 26 3
11 8 1
12 149 3
12 32 1
12 64 5
12 44 2
12 82 1
12 40 5
12 73 1
13 25 1
14 21 3
14 63 5
14 106 1
14 77 3
14 16 4
14 73 3
14 10 1
15 98 3
15 139 3
15 83 1
15 110 1
16 26 2
16 128 2
16 14 4
16 31 2
16 66 5
16 22 1
16 80 4
16 54 2
17 48 1
17 121 1
17 23 3
18 2 1
18 110 2
18 44 1
19 38 1
19 29 2
19 35 3
19 81 1
20 11 4
20 71 2
21 14 3
21 69 1
21 86 2
21 54 4
21 91 5
22 37 5
22 35 4
22 134 5
22 16 1
22 138 3
22 24 1
22 83 2
22 31 1
23 83 5
23 106 4
23 37 1
23 17 3
24 142 5
24 81 1
24 98 2
24 55 3
24 77 5
24 101 3
24 35 1
24 22 1
24 129 1
24 122 1
24 104 4
25 136 5
25 13 1
25 66 3
26 10 4
26 39 1
26 16 2
26 3 2
26 11 3
26 103 1
26 128 4
27 141 3
27 41 5
27 111 2
27 70 3
27 40 2
28 40 2
28 135 5
28 102 4
29 143 4
29 19 2
29 131 4
29 8 5
30 126 1
30 109 5
30 10 4
30 38 2
30 120 2
30 79 3
30 60 1
30 1 5
30 105 2
31 96 4
31 58 1
31 16 2
31 137 1
31 22 1
31 85 1
32 58 1
32 2 4
32 12 1
32 55 2
32 49 3
32 37 1
32 147 3
34 138 5
34 115 1
34 89 3
34 70 5
34 126 2
34 143 4
34 135 3
35 63 2
35 22 4
35 115 4
35 57 2
35 24 1
35 128 2
35 67 3
35 19 3
35 146 5
35 122 3
35 100 3
36 104 4
36 3 5
36 77 2
36 39 1
36 128 5
36 58 4
37 22 5
37 134 5
37 113 2
37 23 1
37 32 1
37 67 4
38 1 5
38 30 2
38 73 3
38 19 1
38 7 5
38 109 1
39 90 3
39 26 1
39 109 4
39 36 1
39 95 1
39 69 1
40 74 4
40 28 2
40 12 5
40 51 1
40 27 2
41 75 3
41 83 3
41 60 4
41 46 1
41 109 3
41 27 5
