1
50 250
0 19 2
0 22 5
0 31 1
0 4 2
1 13 2
1 4 2
1 38 5
1 26 2
1 47 1
1 12 3
2 39 5
2 47 5
2 48 4
2 10 1
2 25 1
2 9 2
3 45 4
3 31 4
3 24 1
4 1 2
4 36 1
4 15 3
4 33 3
4 28 1
4 0 2
5 45 3
5 17 4
5 33 4
5 39 2
6 26 1
6 34 3
6 41 2
6 30 3
7 14 2
7 39 2
7 23 5
7 46 3
7 26 1
7 18 3
9 16 1
9 11 1
9 2 2
9 37 4
10 36 5
10 49 5
10 2 1
10 42 4
10 20 2
11 19 3
11 34 3
11 21 2
11 9 1
11 29 5
12 18 3
12 25 4
12 27 4
12 30 3
12 1 3
13 1 2
13 22 5
14 7 2
14 38 4
14 41 5
14 36 3
14 33 2
15 32 5
15 4 3
16 25 1
16 43 3
16 9 1
16 40 2
16 37 1
16 32 4
17 25 5
17 43 3
17 24 4
17 47 2
17 5 4
17 32 4
17 34 3
18 34 1
18 12 3
18 27 2
18 41 3
18 31 4
18 24 2
18 7 3
19 0 2
19 11 3
19 34 4
20 32 4
20 21 4
20 44 5
20 30 5
20 10 2
21 11 2
21 29 5
21 20 4
22 0 5
22 48 2
22 13 5
22 40 3
22 39 4
22 29 2
23 37 3
23 7 5
23 46 4
23 42 4
24 38 4
24 17 4
24 3 1
24 18 2
24 43 2
24 30 1
25 16 1
25 12 4
25 17 5
25 26 4
25 2 1
25 34 2
25 41 4
26 6 1
26 42 4
26 25 4
26 48 1
26 1 2
26 7 1
27 18 2
27 33 4
27 41 3
27 37 3
27 32 5
27 12 4
27 48 4
28 4 1
29 21 5
29 22 2
29 40 1
29 11 5
30 47 5
30 39 5
30 40 2
30 12 3
30 24 1
30 20 5
30 6 3
31 44 4
31 0 1
31 3 4
31 18 4
32 46 1
32 15 5
32 27 5
32 34 2
32 41 4
32 20 4
32 36 5
32 16 4
32 17 4
32 44 5
33 27 4
33 14 2
33 4 3
33 5 4
34 49 4
34 18 1
34 11 3
34 19 4
34 32 2
34 6 3
34 25 2
34 37 5
34 17 3
35 37 1
36 10 5
36 14 3
36 42 1
36 4 1
36 47 2
36 32 5
37 27 3
37 23 3
37 16 1
37 39 5
37 35 1
37 34 5
37 9 4
38 14 4
38 24 4
38 1 5
38 42 3
38 46 5
39 7 2
39 2 5
39 22 4
39 30 5
39 49 3
39 37 5
39 46 2
39 45 2
39 5 2
40 22 3
40 16 2
40 30 2
40 29 1
40 46 1
41 18 3
41 27 3
41 14 5
41 32 4
41 6 2
