1
250 1250
0 114 4
0 75 5
0 113 4
0 211 4
0 57 4
0 16 5
1 62 2
1 222 4
1 139 2
1 149 3
2 230 3
2 246 2
2 244 2
2 32 5
3 243 4
3 162 5
3 98 2
3 29 4
3 237 5
4 15 2
4 198 5
4 44 4
4 60 1
4 78 4
5 100 3
5 233 5
5 55 3
5 137 2
5 56 2
5 105 1
5 10 3
6 12 4
6 157 1
6 52 5
7 232 1
7 108 3
7 163 1
7 189 1
7 201 5
8 224 5
8 219 2
8 44 2
8 150 2
9 63 5
9 111 4
9 53 3
9 191 4
9 26 3
9 150 2
9 25 3
10 137 1
10 82 2
10 88 5
10 170 4
10 121 2
10 239 4
10 67 3
10 71 3
10 153 1
10 58 2
10 5 3
10 105 3
11 194 3
11 37 2
11 95 4
11 145 2
11 110 1
11 230 5
11 208 1
12 6 4
12 56 1
12 229 5
12 50 3
12 159 4
12 59 4
12 88 3
13 188 5
13 86 4
13 104 5
13 75 2
14 69 5
14 77 2
15 4 2
15 46 1
15 72 5
15 126 1
15 79 1
15 144 5
15 23 3
16 164 4
16 214 1
16 156 3
16 0 5
16 31 2
16 70 4
17 240 2
17 99 5
17 220 3
17 90 3
18 104 2
18 146 5
18 223 1
19 144 5
19 178 1
19 187 1
19 221 2
20 138 4
20 125 5
20 43 1
20 223 5
20 233 2
20 168 1
20 124 2
21 131 2
21 81 5
21 177 3
21 146 1
22 93 1
22 234 2
22 89 2
22 99 2
22 166 4
23 32 1
23 243 2
23 235 3
23 15 3
24 222 1
25 60 2
25 153 3
25 128 4
25 164 4
25 98 3
25 9 3
26 31 1
26 43 5
26 165 3
26 9 3
26 194 5
26 58 5
27 115 2
27 240 1
27 81 1
28 94 1
28 154 1
28 33 3
29 155 3
29 3 4
29 137 3
30 224 1
30 38 3
30 187 5
30 72 5
30 185 4
31 26 1
31 192 5
31 130 4
31 143 4
31 212 4
31 16 2
32 23 1
32 135 4
32 2 5
32 244 4
32 42 3
32 200 3
32 243 5
33 41 5
33 35 5
33 28 3
34 171 4
34 136 4
34 105 1
34 74 5
34 56 2
35 33 5
35 222 5
35 87 4
36 101 2
36 160 5
37 152 5
37 106 4
37 160 5
37 11 2
37 151 1
37 238 3
38 197 1
38 104 4
38 113 5
38 71 5
38 85 3
38 30 3
38 187 4
38 240 4
38 194 4
38 128 4
38 179 4
38 206 4
38 49 5
39 71 4
39 201 1
40 124 2
40 167 5
40 191 3
41 33 5
41 240 4
41 137 2
41 211 4
42 177 5
42 81 4
42 215 3
42 70 3
42 32 3
42 233 4
42 235 4
42 169 5
42 196 3
43 20 1
43 110 1
43 26 5
44 114 2
44 146 2
44 4 4
44 175 1
44 8 2
44 118 5
45 70 4
45 83 4
