1
200 1000
0 166 5
0 87 2
0 57 2
0 118 4
0 68 3
0 167 1
0 187 1
1 127 2
1 114 3
1 18 2
1 42 1
1 166 4
1 159 3
1 91 3
1 143 5
1 100 1
1 183 5
2 27 2
2 125 2
2 148 4
2 29 4
2 123 4
2 52 3
3 180 2
3 161 5
3 90 2
4 96 2
4 92 1
4 97 5
4 145 3
4 196 1
4 88 4
4 53 2
5 100 1
5 88 4
5 56 1
5 15 4
6 44 4
6 133 5
7 82 5
7 186 2
7 134 5
7 132 5
7 59 1
7 182 4
7 171 1
7 140 4
8 111 3
8 149 1
8 54 5
8 153 5
8 102 4
9 158 4
9 140 2
9 167 1
9 52 2
10 27 4
11 91 3
11 48 1
11 174 3
11 69 1
11 94 4
12 148 4
12 179 5
12 110 1
12 121 1
12 45 1
12 62 2
12 70 2
12 18 3
13 35 5
13 110 4
13 163 5
13 65 1
13 102 4
13 148 1
13 138 2
13 161 4
14 23 4
14 80 2
14 27 4
14 63 2
15 134 3
15 162 5
15 5 4
15 151 5
15 171 5
16 37 5
16 54 4
16 69 5
16 88 1
16 130 4
16 53 4
16 36 1
16 122 2
16 64 5
17 174 2
17 32 2
17 41 1
17 164 4
17 180 4
17 110 5
18 1 2
18 191 2
18 188 1
18 94 5
18 127 5
18 12 3
19 77 4
19 50 1
19 85 5
20 162 5
20 76 4
20 154 5
20 120 2
21 114 5
21 177 2
21 164 5
22 149 3
22 155 3
22 105 3
22 47 2
22 109 2
22 85 2
23 103 4
23 14 4
23 139 3
23 162 3
23 170 2
24 76 3
24 53 3
24 152 2
24 97 3
25 134 1
25 101 1
25 53 4
26 30 4
26 59 3
26 110 3
26 169 1
26 153 4
26 96 3
27 2 2
27 165 3
27 87 5
27 120 2
27 14 4
27 10 4
27 179 2
29 2 4
29 117 5
30 58 3
30 26 4
30 110 2
30 153 5
30 187 5
30 189 4
30 76 4
31 116 2
31 79 4
31 75 2
31 157 1
31 89 3
31 137 4
31 98 1
32 48 2
32 61 4
32 17 2
32 114 4
32 43 3
32 79 5
32 68 2
33 150 1
33 162 4
33 173 5
34 63 2
34 106 1
35 71 4
35 13 5
35 66 2
35 45 3
36 161 3
36 16 1
36 84 2
37 16 5
37 104 1
37 156 3
37 49 1
38 130 5
38 120 4
38 144 3
38 162 2
38 150 3
38 177 2
39 153 2
39 191 4
39 170 4
39 179 2
39 67 3
39 97 1
39 115 1
39 193 4
40 162 3
40 142 1
40 124 1
40 195 2
40 46 1
41 94 2
41 17 1
41 157 2
41 161 2
42 92 3
42 1 1
42 170 5
42 176 2
42 100 1
43 62 2
43 93 3
43 32 3
44 6 4
44 144 3
44 115 1
45 68 3
45 35 3
45 12 1
46 55 3
46 139 3
46 66 2
46 69 4
46 99 1
46 40 1
47 22 2
47 74 3
47 56 1
47 123 2
48 32 2
48 11 1
48 144 1
48 147 1
48 56 2
49 187 2
49 70 1
49 190 4
49 116 2
49 163 1
49 181 2
49 37 1
49 165 2
50 112 4
50 19 1
50 199 5
51 156 1
51 71 2
51 74 5
51 197 5
52 99 2
52 153 1
52 61 3
52 2 3
52 145 3
52 119 4
52 9 2
52 104 3
53 78 1
53 188 2
53 24 3
53 16 4
53 4 2
53 25 4
54 16 4
54 117 5
54 8 5
54 73 2
54 109 4
55 169 1
55 46 3
55 185 1
56 84 3
56 5 1
56 162 3
56 101 3
56 48 2
56 47 1
57 182 3
57 0 2
57 118 2
57 114 5
58 30 3
58 155 3
58 159 4
58 194 3
58 166 3
58 136 2
59 90 4
59 26 3
59 7 1
59 120 1
60 70 1
60 100 5
60 121 5
60 124 4
61 198 3
61 32 4
61 52 3
61 159 2
61 108 3
61 129 5
61 127 5
61 181 3
62 85 1
62 43 2
62 161 3
62 12 2
63 34 2
63 109 2
63 191 3
63 176 1
63 94 2
63 14 2
64 84 5
64 139 5
64 77 2
64 16 5
65 93 3
65 138 3
65 151 3
65 13 1
65 94 2
65 84 2
66 92 1
66 35 2
66 46 2
67 153 5
67 39 3
67 83 1
67 158 2
67 94 5
68 188 4
68 175 1
68 153 5
68 0 3
68 45 3
68 32 2
69 150 3
69 119 1
69 146 1
69 16 5
69 46 4
69 172 1
69 11 1
69 88 1
70 122 4
70 60 1
70 49 1
70 103 3
70 107 2
70 12 2
70 194 2
71 35 4
71 51 2
71 102 4
72 123 5
72 96 5
73 101 1
73 54 2
73 106 1
74 144 5
74 195 2
74 51 5
74 47 3
74 118 3
75 31 2
75 178 4
75 113 1
75 162 1
76 24 3
76 20 4
76 130 4
76 30 4
77 137 2
77 19 4
77 64 2
77 111 5
77 188 1
78 53 1
78 184 2
78 131 3
78 157 5
78 128 3
78 139 5
79 31 4
79 105 1
79 124 1
79 32 5
80 14 2
80 190 4
80 131 1
80 169 5
81 121 1
81 111 1
81 118 4
81 129 4
82 7 5
82 91 4
82 132 1
82 104 3
82 156 1
83 125 2
83 67 1
83 197 2
84 64 5
84 113 3
84 56 3
84 107 4
84 139 5
84 36 2
84 65 2
84 165 5
85 62 1
85 145 2
85 159 3
85 19 5
85 139 5
85 114 2
85 109 4
85 22 2
85 97 3
85 142 3
86 100 5
86 149 5
87 168 5
87 0 2
87 27 5
88 5 4
88 16 1
88 108 4
88 98 1
88 168 4
88 4 4
88 169 1
88 69 1
89 164 3
89 109 2
89 31 3
89 158 4
90 59 4
90 136 2
90 110 4
90 3 2
90 120 3
90 92 4
91 11 3
91 82 4
91 1 3
91 93 3
92 123 5
92 42 3
92 4 1
92 66 1
92 188 1
92 191 3
92 121 3
92 158 4
92 122 2
92 90 4
93 65 3
93 43 3
93 91 3
94 174 5
94 158 4
94 41 2
94 105 5
94 108 3
94 63 2
94 18 5
94 65 2
94 11 4
94 67 5
96 178 1
96 4 2
96 72 5
96 26 3
97 4 5
97 39 1
97 159 1
97 24 3
97 158 4
97 85 3
98 137 5
98 88 1
98 31 1
99 52 2
99 46 1
100 60 5
100 5 1
100 86 5
100 1 1
100 112 5
100 42 1
101 73 1
101 56 3
101 25 1
102 13 4
102 71 4
102 8 4
103 23 4
103 172 3
103 199 1
103 70 3
104 171 1
104 191 1
104 37 1
104 194 2
104 82 3
104 52 3
105 94 5
105 22 3
105 194 4
105 79 1
105 174 2
105 133 3
106 171 1
106 181 2
106 34 1
106 157 3
106 123 1
106 73 1
107 131 5
107 120 4
107 117 3
107 84 4
107 122 5
107 70 2
108 149 5
108 161 5
108 94 3
108 88 4
108 61 3
108 118 3
109 181 4
109 63 2
109 89 2
109 85 4
109 22 2
109 54 4
110 12 1
110 13 4
110 30 2
110 157 1
110 90 4
110 26 3
110 17 5
111 81 1
111 147 4
111 8 3
111 189 3
111 196 1
111 77 5
112 50 4
112 173 3
112 199 1
112 100 5
113 84 3
113 75 1
114 21 5
114 1 3
114 134 2
114 85 2
114 32 4
114 57 5
115 169 1
115 155 2
115 39 1
115 44 1
116 31 2
116 154 3
116 49 2
116 192 3
117 54 5
117 151 5
117 29 5
117 198 2
117 107 3
118 146 5
118 168 4
118 0 4
118 137 5
118 57 2
118 182 5
118 74 3
118 162 5
118 108 3
118 81 4
119 69 1
119 122 4
119 171 4
119 52 4
120 177 1
120 59 1
120 27 2
120 107 4
120 187 1
120 38 4
120 20 2
120 90 3
121 81 1
121 12 1
121 60 5
121 92 3
122 70 4
